ID,occ_1,occ_2,occ_3,occ_4,occ_5
J9HVCHRM3WP8,19111012,19111010,19101010,19111011,32161416
L8XAFSUMUXQJ,32161416,23171521,27121210,32131011,32121010
D32LX2TOOWT9,32151014,15111013,17171610,22111415,32161416
5VYK7CF2J4L3,23151010,23171521,21131110,19101010,23171710
4YQJGVCBIKPD,21131110,32161416,27121210,19101010,23101010
46X1W1QXPH1Y,23171541,32131011,12101212,19101010,27121210
PGN3S2W1IXU1,27111214,27111222,27121313,27121210,32161416
1DNTCAGRP2U4,19111011,19111010,32171011,32101110,19111012
YGC9G6Q62RXY,12131213,12101212,27111214,12101310,27111222
YN2YJW20C1N0,19101010,19141311,19111010,32161416,19131211
CTPVEV64GROA,25111110,26141910,27121210,32131011,32101110
OIZU7N9EN0KE,19111010,19101010,19111011,32161416,27121210
5R0PNF3VCLHO,27111214,19111012,19101010,23151016,32161416
RR49HQWP8XFA,23161012,23161015,32131526,32171011,32131510
4XEKZ83Y0224,23121010,27121313,32161416,23111310,27121210
RUD24DKRF4FX,27111214,27121313,32161416,27111222,19101010
5JAMSLSLEKFO,19111011,19111012,19101010,19111010,19141311
A1LSZKZN0LYI,19111011,19111010,19111012,19101010,32161416
Y0RCNJ6BRJDN,25111110,32151018,11151110,32161416,22101214
A2WSFJDBE2X8,27111222,27121313,27121210,27101212,32131011
VM8TNAWVDZV1,23171541,32161416,27111320,19101010,27121210
8SUOC1Y5AYYO,23171524,23171541,32161416,27121313,36161120
HHX2X5DAOK3F,27121210,32131011,19101010,19141311,32101110
GMUCJI7EKVZA,32101010,32101110,32171011,32131526,27121210
2HNSQLNAP8ME,32131520,32131526,27121210,23171541,32101010
4T355HSS7NW0,27121210,27111222,27121313,32131011,23151112
DL4YCPUUKBI7,23161012,27111214,27121313,32161416,32101110
1YAUA8D7204J,19111012,19101010,23171524,32161416,27121210
BBKV0X96KNPX,27121210,27111222,32161416,19101010,27111214
R78L1MRD8JPA,32151013,32161415,32121312,26131114,27111214
8NA164S6C6RB,32131526,32151014,32161416,32171022,32151018
CTEL745CSF0A,32131011,19111010,19101010,15111013,27121210
6YY5XHQ3U91F,32131011,16141210,32161416,27121210,36111110
TTTQWH40W6A7,32161416,19101010,27121210,32131011,19111010
KG84YNERV8JH,19101010,32161311,32161416,32131011,27121210
7ZTRJ67DXLSE,27121210,19101010,32131011,32161416,27121313
CCRBF4AF3QHY,21111510,20251010,21121010,21131010,21131110
C5P2UR3FCR5V,11221117,32161416,23171524,19111012,32131111
CD1W6RUD5WC9,23171541,27121210,32131011,32161416,32151014
5CAEELSX52GW,27121210,23171524,32131011,27111222,32131111
JXZDVYB4XZ3M,23171541,27121210,32131011,19111010,32161415
D3IIA38K0HF3,32131510,32171011,32131526,32131520,32161416
K30LVYLKFXHK,14111117,32171011,32131526,14111115,14111210
PCEO934T3Y4W,19111011,19111010,19111012,19101010,12131213
74VMBLCW0DPD,23171712,27111214,23171524,23171541,32101110
VDHR59C81DO6,23171524,23151010,23171541,23171710,23171510
2Y8LZ8CV2A6P,32161416,25111110,23171524,25111610,16141210
C94TWKC031VG,19101010,19141311,23161012,32161416,32121010
IDFWA88D0MZH,16141210,19101010,27121210,19141311,19111010
RE14JZ4JKA0J,19101010,19141311,19111012,19111010,26131114
8Z1XIE39ZVYE,23171524,23171712,32131011,23171541,27121210
6RV9777TNQET,12101212,12101310,32161416,27121210,16141210
4GC4RYG9RDPX,19111011,25111110,23121010,32161416,25111518
ESTAZALHTTOS,32131011,32161416,19101010,19111010,19111011
173C7Q25Y7KH,19101010,23171524,19111012,32131011,19141311
7MZAKGMIH6MV,32171011,27121210,19111011,19111010,32161416
ZS9MTHD3IGK3,27121210,27111222,32131011,19101010,16141210
O1NNJ5RXC4XJ,36111110,32161416,11191210,27111222,19101010
FDXK31WBHTFN,36161117,36161112,36161120,36161124,19111011
1SA3Y5T37SZP,32151014,32121312,32161416,21161310,18151214
G727NK81TNAG,19111012,19141311,19101010,27121210,19111010
5QMKTGV44FTJ,26131114,32151013,32161416,32161415,19111010
K9QM3P91I3VM,25111110,32161416,32131011,23171310,25111610
1U86AG3U1SWY,20251010,21111510,21121010,20251510,21131110
YHRJRRIDMI24,32171028,23171712,23171541,23171524,23171521
3BQHOK3ZY5SR,15111011,27121210,19111012,19101010,11221117
Y4GWDSHLLSHW,25111610,32131011,25101110,16141210,27121210
OY7GNJZ2HO7D,27121210,32131011,19101010,32161416,32101110
N1U3493WXA73,19111011,12131213,19101010,19111010,19111012
FI4X65ECC7JB,19111011,23171541,12101212,32161416,27121210
URMYBD2QE4PA,19111010,19101010,32161416,19111011,16141210
B0ORR5SR5ET3,32131011,27121210,21131110,16141210,32161416
724D6GQ2WIPP,32161416,23171310,19101010,19111010,19111012
1DGEJ1DG6FWR,15111011,15111013,36111110,32161416,19101010
DTJVZHWJR64D,23121010,23101010,27121210,27111222,27121322
Y525FNSCQQAV,27121210,32131011,27101212,21131010,27111222
9MW68M1INUFN,21121010,21121210,23171541,21121110,21131110
VDSIZB25JT3M,12131213,11181013,23131115,19111011,19111010
RGYGO2YPE4CW,19111011,19111010,19111012,19121416,32121010
CKBQRGERY74R,27111214,27121210,27121313,32131011,32101110
7Y2ITL8N3E54,19111011,19111010,19111012,32161416,19101010
GE67SNVCE8XP,11211010,23171521,23171528,36161117,23171541
FVTACBLQI1N6,19101010,32131011,27121210,19111012,19141311
IUYD7RINA0VL,19111010,19111012,19111011,19101022,11151110
R17H4GYMRRQS,32131011,27121210,27111222,19101010,19141311
N6NBYZM242OM,19141311,19101010,19141112,19141110,27121210
5A8SM0D48EGJ,25111110,25111518,25131710,32161416,27121313
XQLLOPEYP78B,19141112,23171511,23171524,23171541,19131211
E9LAODEZT07B,23171541,27121210,32131526,32161416,23171524
TX6QCALUK873,19111011,32161416,19101010,19141311,19111010
80ET4084W5PR,27111222,27111214,32161311,27121313,19121416
W41F7V4K88K6,19111011,19111010,27101212,27121510,19101010
FDDSY1ZY6N78,19101010,32161416,19111011,19111010,32171022
U943FWJBUOEY,19141311,19101010,19141112,19131211,19111010
8A2VZPY9QZO7,32161416,32151013,19111010,19111012,19101010
4KNPI91PY9T2,19131211,21121110,27121210,19141311,19101010
D1GAFUNH7I3W,16141210,27121313,23101010,23111310,23171541
2JBTZGTLD6F0,23171712,23171524,23171716,23171714,27101020
GU5IO8VE6UXT,23161015,23161012,15111013,32161416,26131114
3HCDI74KZT22,16141210,19111011,12101212,19111010,23151115
R0FZAUXBGK2W,19101010,19111010,32131011,19111012,19131211
VI0OYEIC0OQF,32101010,27111320,23171541,23131115,19101010
27EVCNQIYFTL,32171011,32131526,32101110,32161416,32131510
KJFPYTYOVVT2,22111215,22101214,32151014,32161416,22101213
PR4TW5S63RH5,12131213,21121410,21121010,32161010,32121312
60V33LIFNCRN,23171521,27121210,23171710,27111222,27121313
QBA3RNQF3ADT,19141311,19101010,19141112,23151215,32161416
COMMN9TWN7GW,32161415,19111011,32161416,27111222,27121313
S3M5OUROL6BI,21131110,32161416,19101010,27121210,32131011
7D9ALK7YBZGA,32161416,19101010,19111010,23151215,23171541
PYMA1T6SIF6D,23151010,23171521,19111011,32161416,32131510
FX7XJZ6US7RP,32161416,27121210,19101010,32131011,19111012
5SEFMM3JT4LM,19101010,19141110,19141311,32161416,23151111
K0AXYCELOS6Z,32131526,32161416,27121210,27101212,32131011
IHDZSNOL8WKF,27121210,32131011,16141210,32161416,36111110
G2QZW3C1QKBH,23151010,23171521,19101010,32161416,32161311
5LO9J5RWHHI4,23171710,23151010,23171521,23151016,19101010
TYX2CB2PN4U6,32161416,23161012,11221117,20311610,27121210
LIZ63IVV1ERK,25111110,23151215,23171541,19101010,32131111
OYC3RWQMMU7J,23171712,25111610,25111518,25111110,23171541
6XB1Z337C7NX,11221117,32161416,27121210,27121313,32131111
OV50EW25X1FV,32161416,27121210,26131114,32151013,27121313
TUWFV2TTUSWE,26131114,32131526,32151013,32101110,32161416
SD8P4XTKXGY9,27121313,27111214,32131011,27121210,19111010
0TW87S34876K,16141210,23171541,27121210,32131011,23171810
BER5XEJ2VBQK,32131011,27121210,16141210,32161416,23111310
GBJ72BTQ8232,23161015,23161012,32101010,32131011,16141210
VQ4RKP3WUDE7,19111011,19111010,19101010,32161416,23171524
RHOCN9J2QP89,21131010,32161416,16141210,32131011,19111010
ZNI37ZCGACEP,27101212,27121210,32131011,32151018,26131114
QBDO8T8MVW5O,19141311,19101010,23171524,19111010,19111011
GLH62C9T199D,19121416,19161111,32161416,23171541,27121210
BFA37DL9FC1X,32131526,32101010,23171712,32161416,23131116
YXDW2ZCFZW0L,19111011,27121210,19101010,19111010,32131011
ZHDV5OJZTO7D,32161416,27121210,16141210,23171541,32131526
JQ9RVN97Y8XL,19101010,19141311,27121210,32131011,32101010
HJ99VAEJVOBV,11221117,23161015,23161012,32131111,32161416
TLOM344MW04I,19111011,19111010,19101010,19111012,19131211
TXW1VZC7D2KD,27121210,27121313,27111214,32131011,21131010
RMHRCNBH6NQQ,16141210,19111012,19101010,32161416,19141112
R0M6HZ72KXSJ,32131526,32131011,27121210,16141210,32161311
XI8E55325CAM,19111011,19111012,19101010,19111010,26141910
0I9BL14HOAE5,23161015,11221117,23161012,32161416,12101212
ECFVSJW7TBDD,23171710,23171510,23171524,23171541,19111012
HYCX8AE0JXYO,27101212,24161219,32131111,32151018,19121011
1POXRTEO2T8F,27111214,27121313,27111222,27121210,27121013
X8U73NKBF2E6,32161416,19101010,19111010,11221117,19111012
Z6FP9XAQS3TG,32161416,19101010,19141311,32121312,11211010
BTGDJZ0IFRML,32161311,23171541,23171524,23171810,27121210
Y5SIC4S8PNNE,23171541,23171810,12101212,19101010,27121210
GZ3FPXRTZW44,27121510,27121210,32131011,27101212,27101024
P47LZ0O158J8,19101010,19141311,32161416,23171310,27121313
8FBFFHEYZQQX,19111011,19111010,23171524,23171712,19101010
QAELYYZZ0JDC,27121210,27111214,27121313,11151110,27111222
URTP0LZJJEGE,19121416,19101010,23171541,27121210,19141112
HLI5L692TULG,27111222,32131011,16141210,27121210,19101010
3T9LP2E2ASOE,21121210,21131110,32161416,32161010,27111222
I6FQJJA26YFP,21131010,32131520,32161010,21131110,13141111
1WOO0HLLSSG7,19121416,12131213,27111214,12101212,19161111
G24479QTKCD0,27121210,19181312,32131011,19161012,27121313
K0Q09JRNAMZ6,32171011,23121010,19141311,19101010,32101110
IJAM31BXPGWJ,27111214,27121210,27121313,27111222,36161117
Q21G07HPNPK2,27111222,27121210,32131011,27121313,19161012
XQ7BZEGBL2QG,23161012,23161015,11151110,19141311,19101010
TXX6LK7IAZGQ,16141210,16141110,32131011,27121210,27101110
2Z1K3BDGRB2D,32161416,23171541,19141311,23171524,32161311
XU11TO0BOGCC,19101010,19141311,19111010,19111011,19111012
LE6KWHEF0VOT,23171524,23171712,23171510,23171541,23131116
4L2E4F4N3ZA0,23161015,25111110,19101010,27121210,32121010
T1GHR09SKDGI,32161416,23171712,23131116,32131526,32101010
5T6V8VLQ3VXH,32131526,32131520,32161416,15111013,32171011
BC2SWSOZCTWJ,32131011,23161015,23161012,23171541,32161416
W7Y8AUBPM9DB,19101010,19141311,19111010,19111012,27111222
ID25OWF75935,26131114,32161416,32151013,27121210,16141210
S6GKJ71K16Y0,32161416,19141311,19101010,32131526,21121010
EQ8DH9PTFNM8,23111310,27121210,32131011,16141210,36111110
AZ39PECN0DL5,23171541,27121210,16141210,32161416,23121010
T2G43154MAPH,11211010,32161416,19101010,27121210,21131010
SKHKXVS6AYLL,27111214,27111222,23171710,27121210,27121313
NISOSZ0D3MPV,27121210,32131011,16141210,23171541,23171524
JUM9YJ42DV9U,32131011,27121210,23151115,23151114,32161416
4DTO8UFLV4BA,32161416,19101010,32131526,21131010,27121210
IJARTA4PN9A7,27121210,32131011,23171541,16141210,32101110
WUQAYGI0P0HI,27111214,27121313,27121210,32131011,32131111
3RM6ZGEVM4OI,32131526,32161416,32131520,21131110,27121210
4AJMMUZUQED0,36111110,11121110,32161010,26102110,32121312
QXIWE6RGL7JY,26131114,36111110,32151013,32161416,27121313
61NHVCFWR2F5,11151110,32121312,11151010,23171521,32161416
21E5J7O6RHD5,32161311,25131710,25131410,25131810,32161416
YRR4CKCEKKLM,32161416,19101010,19111012,19111010,12101212
JH9PO2UBATPZ,26131114,32161416,32151013,19111012,19111010
AFEYUHZ1GV0E,36111110,11121110,17121013,32161416,16141210
P5MZ6W3CO8PE,19141311,19101010,19111012,19111010,23171541
Z3BG52IB4TCT,27121210,32161416,32131011,19101010,16141210
5TBDJGGGU5RP,23141011,23121010,23111410,19101314,32161416
AI2278EQE12Q,23171541,32161416,32131011,19101010,23161015
8KY4YUOWZIUT,32161416,27121210,32131011,27121313,32131526
YMYRSVZN4REG,27111222,27121210,32131011,19101010,32161416
8YATYE737FEN,32161416,25111110,27121210,27121313,25111610
LF9YXAM97YOF,25111110,23121010,32161416,23111310,25111610
DKEJP5K7917X,19101010,19111010,19111012,14111210,19111011
1XERP3LYEX3S,23171710,23171541,19141311,19101010,32131111
RRN5N5EHQ403,23121010,19101010,23111410,36101110,23121311
SD4TR4GSE74V,23121010,26131114,23101010,32161416,25111110
Q7GXFXLX4UZI,23131115,21131110,19111011,32161416,23131110
RZJK9E0OAWHN,23171810,32161416,23171541,25111310,27111222
55IZOLNNTXRG,19101010,27121210,19141311,27121313,11221117
3PT5R5RC6ZS6,12101212,23171310,23171541,27111320,12101310
JMKJLNDITN5K,27111320,23121311,23111310,23121010,19101010
LX2CRL39YR8H,16141110,21131010,21131110,21111110,16141210
13QVBNK0SCJW,22111215,22101214,22101213,23171541,32161416
WEDF43390F8N,23171541,27111320,32161416,27121210,32131011
H97Y8PZL99UJ,23161012,19141311,19101010,12101212,27121210
XFSHWZSJQ77Z,27121313,32131011,27121210,27111222,32161416
HS7AUIGJD3X4,19121011,19121416,19161111,32131312,27111320
LED0Z4ZMPRGA,19161012,26141210,23171712,19181312,26141910
Q2YVMZA5W8VL,21131110,21131010,21111510,11221117,32161416
BLC09E0VIVII,23171541,27111320,19141311,23171524,19101010
FQGDM1IYKU9I,12101212,27121210,23171541,19101010,12101010
XF445CRI8BIX,32161416,19111011,23151215,11221117,32131111
MZ2CAO1KVLDH,23161012,11151110,27121313,27121210,27111222
HZFFGHF3OBS0,19101010,23171310,19141311,27121210,32161416
BBXUX1OXRWK8,19111012,19111010,19101010,27121210,32131011
FFZ8Q4VHU4BA,23171524,19101010,23171541,23131116,23171712
74ADD0GN7RVX,23171541,27121210,32161416,27111320,32131011
YS5THU4TGVXK,27111222,27121210,32161416,27121313,27111214
FCUZLZOO0AHW,16141210,23171521,12101212,19101010,19141311
GH30153SFLSE,11221117,14111210,23171541,32161416,14111117
5BWNE4Q77AG3,16141210,32131011,27121210,19101010,15111013
3XKKJLIVBCNK,23171521,32161416,27121210,19101010,23171541
187OZYMUZZO1,19111011,27121210,32131011,19131211,32161416
EBJVNFOWAPCQ,27121210,27121313,27111214,19101010,19111010
9KWV08HHXFGC,32161416,27111222,19111010,27121313,23171712
IZ7TFP3G21CQ,32131526,27121210,32131011,16141210,32161416
M8LHPWF5XK1S,23171541,11221117,32161416,27121210,32121312
GJ78JP3HTNCV,32131011,16141210,32171011,27121210,32161416
DQZ05EV5KZ3N,32161416,32131526,19101010,16141210,32131011
F1PT6TROUWFI,23171541,19111010,19101010,19111012,27121210
730KF8VD3RRJ,27121210,19101010,32161416,19111010,19111012
M9XXK7TTMA00,19101010,19141311,19141110,19101314,19131211
2XE0JDCZ1OA3,32161416,32131526,27121210,32131011,32101110
SX0BJCKJCO6M,32171011,32101110,32131011,19141311,19101010
C58CU47SOCZD,27111214,27121313,27111222,27121210,32161416
82CUDLD5CXBB,11221117,23131115,23171611,27121210,32131011
CU5SXQKQBKUR,11221117,27121313,32161416,27121210,32121312
YH5HOA7WKDPE,19101010,27121210,19111010,32131011,23101010
V5G10UR5L8A7,32131011,27111320,27121210,19101010,11221117
R0XAFGOVCCI6,23171528,27121210,27111222,23171541,21121210
R4ZGMS66KE6Z,12101212,12101310,32161416,27121313,21141810
GBUKCNYDI9WM,32171022,25131710,27111222,27121210,32131011
Z17A8RNXPWNU,23171524,32161416,23171541,27121210,25111518
RF04F69AC9T6,27121210,16141210,32131011,32161416,27121313
W8BTTCNO3FEU,23171524,32131011,23171541,19101010,32161416
VHDK8LW2LM34,19101010,27111222,27121313,27111214,27121210
PHT0HL9XPSEI,19101010,27121313,27111222,19111011,32161416
9M0P875KNORT,27121510,22101213,32131011,27121210,19101010
5CCASBUOV6TT,23161012,11221117,23161015,21131110,32161416
5CFV2VYN1KJS,32161416,27121210,32131011,32131526,19111010
4PU6W93K8EKT,15111013,32161416,19101010,32101110,27121210
QU7DKNNCPTKE,27111214,32161416,27111222,27121210,32161311
9UE421VMEFOZ,19131211,27121510,27121210,27111222,32131011
VZHQJY62ZEEQ,27121510,19121416,32161416,27121210,32101110
BRU2QLC65Q2E,19111011,19111010,19111012,19101010,27121210
46NZ3HA6CBB3,27111214,27121313,27121210,32151014,27111222
7G2RE6ZVLHYL,23131115,32161416,23171541,27121210,23171712
59Q7S44Z78IY,23171541,23171524,27111320,32161416,23171310
8VAQVBDIM28A,27111214,27111222,27121313,27121210,32131011
SU2MA90DS1BH,32171011,25111518,27121210,32131011,19101010
RFQX780TIJ7K,19111010,19111012,15111013,15111011,23171521
W78F6M1DALPB,23111310,32151018,23121010,32161416,32131011
UN6FHT60KUSF,21121010,23121010,32131516,32131512,19141311
MXLVZ4QKE2GJ,32161416,19101010,27121210,16141210,32151014
UZA9QVEFHX0Z,19111010,32161416,19101010,19111012,19111011
5BWIKOTCKEH5,32161416,26131114,19111010,19111011,32151013
YJ38XRG2GZR7,32131520,32131526,32131612,25111610,32161416
6M1FMPRYFZMY,32161416,19161111,32151014,32121312,32121010
N55EJ1YLJZCC,23161012,23171541,19101010,27121210,32101110
ZJ2L72V08KTR,19141110,19101314,23171524,23171716,19141311
OHFDDVSZ2TVH,23131312,22101214,22111215,32151018,22101213
SKFNNMLWVAPF,19101010,19141311,21131010,19131211,19111012
U46U15UTSU3W,27121210,27111222,27111214,27121313,23151010
R8T9450XPOI7,23171712,23171541,32161416,19121416,32131011
EZRRCFPLBXL3,32161416,23151115,32151014,32171022,27111222
SOS0ZXKQKP90,19131211,23171541,19101010,19141311,19141112
123NCRJAV6NI,19101010,19161111,19111012,27121210,32131011
03IQHYCVPNX4,19121416,19161111,32121010,27121210,23151215
C55C5MWBWACJ,32131526,32101010,27121313,27121210,32131011
6G298CQK4LTA,19111012,19101010,19111010,19111011,19141311
S1UYSZDED8WG,19131211,21131010,19161111,22111415,22111416
OYHDOWM2HUT7,27121210,27111222,27121313,19161012,32161416
NKCTQ7VIN5LV,23111310,27121210,32131011,23121010,21111110
WJTIQWNRHZN4,32131520,32131526,32101010,21131010,32131511
9DO70IU7HWLW,19111011,19101010,19141311,23111310,32151014
A5I8JNBRJS1M,32161311,25131710,25131410,25131810,25111510
PX71M8ECKC54,19111012,19111010,32161416,19111011,19101010
5PFBCE5Z3ZTD,32161416,19111010,19111011,19111012,36161117
DKV54C6P1LLH,27121210,19101010,19111010,19111012,32101010
DJKLUYLUYHET,19111012,19111010,25111610,19101010,25111110
P07HZQ8OEJM9,19141311,19101010,32131011,27121210,19111010
8VI6FKRXXWFM,22101213,22101214,19161012,27121313,22111215
V55PSQ0OXFQ8,18151213,32131526,23171521,23171524,23171541
06DDG680IUGA,19141112,16141210,27121210,32131520,19131211
38DALY8OZCYW,19101010,19141311,19141110,23151111,23151116
ILJL8VJ61TYJ,27121210,27121313,32131011,27111222,27111214
M18O1BJ9RM7P,19141311,19101010,32161416,21131110,32101110
H2IN2BU4WA2G,27121210,32161416,23171541,32131011,11221117
NG0APSALDNJ7,25111610,23171712,23171541,23171524,23171510
7PMEXJTNRP1I,19141110,11211010,19141310,19101710,19141311
7DQ8VDGWMQEB,32131011,23171541,23111310,23121010,32131111
3HWPZ6K0EXC1,19141311,19101010,32161416,32121312,32161311
T4P501NOUHTC,32131011,27121313,27121210,27111222,32131526
