ID,skill_1,skill_2,skill_3,skill_4,skill_5,occ_1,occ_2,occ_3,occ_4,occ_5
3ON4FG0DJQ1P,KS1228S6YKWXMH4M4DL7,KS441NW6L8RQ4GD0HFRX,KS1218W78FGVPVP2KXPX,KS1280B68GD79P4WMVYW,KS12752715S2P1XNBR43,32161416,20341227,32161415,32131526,20301314
9KDQIUT6HRCF,KS122556LMQ829GZCCRV,ES8B03DAD3B526316ED9,KSDJCA4E89LB98JAZ7LZ,KS122B675FC1JT787TRB,KS440XG6F9DTD3VG7JTV,23171524,19121416,23171712,19161111,19121011
04YPRPAQCCGZ,KS4412W6XQYHSK0FTL67,ESB4149C63B4F6081616,KS121056X529461ZF6XW,KS121YT721BY2F3M5YDR,KS123B25WWFY25Z5S42X,11211010,20311610,11211014,11211211,18191217
2LD05NHQR6F7,KS126HY6YLTB9R7XJC4Z,ESF0C01F4A5BE2D33EAF,KSURYH0Y6784AYSV9EGJ,KS127Q56J10XVNDFQ3K1,KS1256R73CTYK54K8BQP,21121410,21121310,21121010,20291110,21111710
VW7KHUL0OPXN,KS123HS61B4WJHXTJKCF,KS120KG6WHGRLKG6DFS3,KS124QR6F19BX4WPMW1H,KS126PY69KTZN6P06R7P,BGS3C9BE4BAE8DF7B0AD,16141210,16131015,16141110,27111110,23131115
WQF1TTIMLYTG,KS122556LMQ829GZCCRV,ES8A837D0DD657D1FD5C,KS683SQ6ZD2227YN4C93,KS1245D63J6T7XNBKPV6,KS1217P66NK6BW72M9FH,36161117,36161124,36161120,36161112,36161110
GLG08YVU69QA,KS122B071LMGXVTT3Z91,ES99B020D66F6670BCA6,ES2CC185FC27BC0DF8FE,KS127D361PF0FTXDZ7C4,ES82679C2ADA70DDD6A5,22101214,22111215,22101213,19101010,19141311
YRA65EC0TW4H,KS126966H39MX8JKF9TX,BGSDD5FB715C9C84D8AE,KS121FS74TYLW9WC52YR,ESEB1D4619E6E83A061D,KS441K2756CXYXBG990G,25131410,32161311,25131710,25131810,25111510
BVXKETUGKNN5,KS125LS6N7WP4S6SFTCK,ES76F4C57A88877D6D64,ESF14A354DDD69B5FBD4,KS123HV5WHQXDMXZ667K,ESBF952629C36426E564,22101214,22101213,22111215,22101210,32151018
2O0YLEQDB2PC,KS123S46J5HRBLZRMRJ0,KSEUBE05CNTRR4Y6ZMP9,KS121056X529461ZF6XW,KS1249M6HJQN825S5TZQ,KS7AASDV6UOE7VFBGF4D,32101115,19101010,19141311,19141110,17141810
Q8ZGVWWUSXLM,KS1226V6GDP5NMZXY0G1,ES2485681ABF954DB2BA,KS4425C7820LCHZS7VGX,KS122B568MKWX1K9STGP,KS121Z26S4VJLQ1WXN21,32161416,25111110,25101110,25111518,32161415
R2YKCCPRHVLZ,ES484ABAD1C3ADD618F5,KS128066XVJ3VBR23R8W,KS1218B62M9QRBY8WRSK,KS120406FZSMTZF4M5SH,KS127D361PF0FTXDZ7C4,19101010,19141311,19141110,19111010,19111012
NMNR06DJIN9R,KS124RX787SQ1WVD8XF6,KS1280B68GD79P4WMVYW,KS1218B62M9QRBY8WRSK,KS122556LMQ829GZCCRV,KS1265D6RGJL2Y4J6V5B,27111320,23171541,27121112,23171810,23151010
4JRCQ97RCQ6W,KS121CY5X6BPXPPMH95R,KS127296VDYS7ZFWVC46,KS1267F6MSPN366LX7ST,KS122556LMQ829GZCCRV,KS122BP5YT02HT9R6Z16,27121312,27111211,23171524,27111222,27111214
H2BVWV6YSHHY,KS126S86N4K800BJBTQP,KS126DD6P20BDTT3QHF3,KS122BL6107G2Z27JWJW,KS1262M75JR0VJF6P1JF,KS122J56PZMMFL1SVY1F,16141210,27101212,32131011,27121510,27121210
G4GKS6R6BILQ,KS1218B62M9QRBY8WRSK,KS440MF6LJN6379ZF4PT,KS685WP6F6NWNGF4YVD3,KS441VJ5YF8Z32D38QHL,KS123YJ6KVWC91BTMB4R,13101010,20251510,20251110,11191514,32161415
KZK4RQJWOJWF,ESA420F05EBBD34B3C2A,KS121XX660DWPDPRLVW2,KS441ML6ZTK71MVYGP67,KS121YT721BY2F3M5YDR,ES9D57895C5987C7FF78,23151115,23171528,23151114,23151111,23151116
4ZW9XA3KX7EE,ESED820E6065D9AA8D6F,KS123X777H5WFNXQ6BPM,KS1219261TYVPMGX8KVQ,KSQ39IM6T1T6MCGAI2LO,KS128066XVJ3VBR23R8W,36111110,11191210,32101211,25111310,21121010
NVIJZX4XVQBZ,ES8B03DAD3B526316ED9,KSOH5A22ONUFT1ISMMC5,ES3C8650B6A0820DAFF4,KS121JW5XD3J5438SMXP,KS125396806XPV2Z8XQ6,23121010,23121311,23171541,32121010,23161012
9WXN91TFRSA8,KS120W86MGP2XXV2NDCC,KS4415B77WWH2WCSVHCV,KS126DB6T061MHD7RTGQ,ES3F1A0ACC572C7C4371,KS123KH77136Y0FWRNJY,19101010,19111011,19111010,19111012,19141311
YIX79PBRTG6C,ESEA40DB0894E643E17C,KS126HY6YLTB9R7XJC4Z,KS123NJ76GJLK91JS75M,KS1248T6MC5L69MZ2L3R,KS122VL71WF050TPW0V7,27101024,27121510,11231110,27121210,32131011
JPZTC09ZGNX3,KS120LH5W508G8HMY9GG,KS7G4YT72YHJ3BVJ4P56,KS124VP65VSFMX87DD66,KS126M166T8716PPYKSG,KS124685Z7C03V020F5V,21111510,21121010,21131110,21121410,21111410
RW6TM2O04K0L,KS120GV6C72JMSZKMTD7,KS121W46CJXQ5ZQ506MS,ESD4CF4AF48BF82697C8,KS121JN70DB9VHC8T9GN,BGS44B0B6FBF1324A81D,20101310,20101110,20101510,20351010,20351310
IM04RF4LTYYT,KS121976B5FMM8M5NTQ0,KSWDR9J0249TFZ6NUP6X,KS126HY6YLTB9R7XJC4Z,KS440VW68PYFN7XB2GP9,KS124WD6XB7RT57LR817,20331031,23171521,20251510,20281110,23151010
NGZ6WMDW0FGZ,BGSA0A7A10E4C461188F,KS121DS6GB09TFN7RLX0,KS120496P0NDBPKP322Z,ESF586319EAC399E9394,KS1258B6FBG9B2CQ169N,19101010,19141311,19111011,19141110,11171012
2XGVGDOFMAOK,KS1279L6C7ZQ9YQVSJ3G,KS1203X6ZDCNW2J3RC4X,KS121YX5XHV5QPYV2TXL,KS7G7LT731301PM8PGN8,KS126D668BLGSC15GFLS,19111012,19111010,19111011,23171521,12131213
2SDS8B25SQ8C,ESF14A354DDD69B5FBD4,KS44253607FYTYCJNMPZ,KS120LB6XV5409BCQ0NF,KS122QL6NN356RRJT6RV,KS442216KX06NQ2F1QWZ,23161012,15111013,11151110,32161418,23161015
XJVE3DZEEDHH,KSORG41MPDZUG1W4O6M6,KS122NQ6YXFQ2WCWT11F,ES80218941101A2D56DA,KS120HK5XY6JV257QLTX,KS122PM76DCYL9WC89Y7,23111310,23121010,23101010,23111410,23112014
7HA752A97PNF,KS124DX6G31F5M9ZHNGC,KS126256R04NWVG6Y5C0,ES2884E132F1A422AC8F,KS126HY6YLTB9R7XJC4Z,KS126DB6T061MHD7RTGQ,11151110,32121312,32121010,32161416,11221115
NPTT3M5H0JHK,KS1200365FTR9X0M96T9,KS121F45VPV8C9W3QFYH,KS124WD6XB7RT57LR817,KS120GV6C72JMSZKMTD7,KS440Z26T60HXNGBDLL2,20251510,36111110,13101010,20341110,20311510
F3JPHNB5VNGB,ESEB1D4619E6E83A061D,KS7G6J46GFF6BJH38BHN,KS1218W78FGVPVP2KXPX,ES1C7487AD1B6C91C127,KS7G2F36GFX1K55V6GK4,20311610,20341110,20251510,20311510,20171810
2T8YFOTUX6J1,KS1287R64YNBZGR50Y1N,KS121WH63JVNQKDGCPR9,ES8F73CC75C618D72F72,KS1212B6QR5SK1LSD4S4,KS127D361PF0FTXDZ7C4,23171529,32171011,32131510,32131526,32101010
B5FW1DUHBX6A,BGS379BF24E36A451225,KS123RL6QKGVXHZGHP67,KS122556LMQ829GZCCRV,KS123DZ63CL4S5D74XVG,KS440Y975RD841M02V3S,32101127,22111511,18191511,22101211,22111218
PY9E576MOUZE,ESAB2C2E5E7E78A3527D,KS1259D6L30YYG3XR3VL,KS127D361PF0FTXDZ7C4,KS441BW6SPKJGQ31RGW7,KS1217R6SMDJ0WQHN6LK,27101110,32131011,23111410,27121210,23111310
Y857NZ3A8V4X,KS441626TDSV2J6GBB86,KS440V76TYZ2914W661H,KSQPGV2XZO8UMNCC49LK,ESC0125793FA9AA2156E,KS121W46CJXQ5ZQ506MS,21141810,21151010,20281710,20101510,19111110
9VP4JS6NLM4G,KS123YF6T21PFVZ16Y46,KS120SX6LJL1S06TG6QD,KS1210674JQVCN6F1V19,ESED820E6065D9AA8D6F,KS122BH71B5J7G48QQFM,19121416,19161111,19161012,19121011,19131810
YBESIRQ4TP1N,KS120ZX7019J4V8DHBTM,KS121DY6DT8LNYJL7FZ1,KS1259D6L30YYG3XR3VL,ES3C8650B6A0820DAFF4,KS7G6VJ6200Z9JD98NR9,25111110,25111310,25111610,23101010,23121010
1O082SFR23C6,KS127ZL6W4NRZV7GLSCD,ES62134BC8E2F84A9DE6,KS441DK5ZDF8Q8FWL19R,KS126HY6YLTB9R7XJC4Z,ESB83A3468C64FA5107E,19121416,18191217,18192011,19161111,19121511
E8NFRAOTWSJ5,KS125F678LV2KB3Z5XW0,KS120VW6JMZHZXZGD72C,KS124VJ71BKMYXC1PP09,KS1280B68GD79P4WMVYW,KS125DK6CWSVBTFV17WW,32171028,23151115,23151111,23151114,23151116
H5V6KPWDMJ3Z,KS440QS66YCBN23Y8K25,KS121Z26S4VJLQ1WXN21,KS123X777H5WFNXQ6BPM,BGS2DB509D897F31BB94,KS126X663B21NB77ZHSP,20321022,20321111,20221011,23171810,20241110
JJFAF8EDJM7W,ES36BB7D95D0BF489852,KS7G4YT72YHJ3BVJ4P56,KS125F678LV2KB3Z5XW0,KS1203V5WXB7NG26XSR8,KS1218W78FGVPVP2KXPX,19111011,19111010,19111012,19101010,12131213
1SSTCFHD82P5,KS440K266YPXFVKMWMCR,KS121YT721BY2F3M5YDR,KS127FN627W262Q720L4,KS122CJ6ZVCCTTDGYB6B,KS124CH623PFBJS8T5KM,27111214,27121313,27121013,23171521,27111222
MVFCMQ0OB1N6,KS120VC7108H86J50CYW,KS120SR6WD1FP76Z6GC2,KS1280B68GD79P4WMVYW,KS1203W6419RJG2KW4QS,KS124JC6CHGJ6YGD3JJ7,32171011,19111011,19111010,32131526,19111012
HFRRCV1EXYB8,KS440XG6F9DTD3VG7JTV,KS1280B68GD79P4WMVYW,KS126HY6YLTB9R7XJC4Z,KSQ39IM6T1T6MCGAI2LO,KS123X777H5WFNXQ6BPM,11221117,12101010,12101212,12131213,12101310
FOIJOCVSGFGN,KS440PV6FRJ90X0QFNLY,ES71C18378814E6740D6,KS7G0D05ZQPM0NFXJSBP,KS120SQ5W4Q57JMD2Y81,KS123HX665YR92MSC607,32151014,27121210,27121313,32131011,21131010
VCPEA74TBS9I,KS125MK6L8XN70ZS40ZY,KS1267F6MSPN366LX7ST,KS123X777H5WFNXQ6BPM,KS122556LMQ829GZCCRV,KS4407N6CMTCYT0NYSVM,32101110,32101010,32131526,32131510,32131520
I1DTTOPY7VND,KS126456773GS63NCY8F,ES314A8628331352466D,KS1218W78FGVPVP2KXPX,KS12161691DMDRWTSBL3,KS127D361PF0FTXDZ7C4,16141210,16141110,32131011,32151015,27121210
E4S4MFEL33PC,KS44086772RVPJQ1SVW6,KS123MC78KV644P5DDZ0,KS128HD6KJSZMPK72WSF,KS441FJ6XPGVM4ZPGZCF,KS120QQ6ZN003B8B7FK1,26111210,26111010,23171310,26111310,26111110
EFJ31EGOM62H,KS120LH6DHTBJYVLFKB3,KS126HY6YLTB9R7XJC4Z,ES6978BEA54073B22038,KS1218W78FGVPVP2KXPX,KS120HK5XY6JV257QLTX,27121313,27111214,27111222,27121210,32131011
1UC8EANR1CGW,KS125F678LV2KB3Z5XW0,KS127D361PF0FTXDZ7C4,KS124QR6F19BX4WPMW1H,KS1223773DHR863P9KJ1,KS122556LMQ829GZCCRV,21131010,21131110,32151018,19101012,32121312
SBKP1L4WFXFM,KS127M36PQPZLCDRJ5FB,KS123X777H5WFNXQ6BPM,KS7G4ML61B2JX1H1003Z,ESBF952629C36426E564,KS441DK5ZDF8Q8FWL19R,16141210,23161012,23161015,32131011,16141110
WKFU90FPI90M,KS125966RSZSRH0J74BL,KSPW6SYT2CM7EW9VBP1H,KS124VJ71BKMYXC1PP09,KS1238H659P08Z726BK8,BGSAA93822820DF21114,32151014,27111214,27121313,27121013,27111222
23XQPLUYG3HD,ES899BA440FA3441F22A,KS124H46Q2PP8YC1WQ06,ES99B020D66F6670BCA6,KS125KL5Z50L4J0MJ95R,KS1218C6MP9RN7WXMM37,16141210,19111011,19111010,19111012,19101016
23HK7DBWPVFZ,KS1215R6G5DYNSM74PW5,KS441K2756CXYXBG990G,KS127M261SN719FKWKFZ,KS127RR61H1X4CYBBZF5,KS121Z26S4VJLQ1WXN21,19121711,18191516,19121011,12101310,18191517
B7S9TJ1GM25L,KS1217P66NK6BW72M9FH,KS122556LMQ829GZCCRV,ESF8B51924E0AFA05771,KS1203Z6YQZ0X4XX7RM2,KS123KV6WF08H54CCZMF,19141110,19101010,19141311,19111010,19141112
R0TOKPK7YSWN,BGS1E1B7E03C22EE6F65,KS1282C778989GJWW9BZ,KS120C76T2L99X2YNKS3,KS1248T6MC5L69MZ2L3R,KS121996CBWZX0W48B64,17111510,11211211,11211010,11211014,25111110
XAWTCI9SU6D1,KS1203W702ND09XHKJR5,KS2DSDNSP4UY5VRHV2CM,KS681QS60M1FK19YRHG4,KS120WQ677W47TWMCBB2,KS440W865GC4VRBW6LJP,19111012,19111010,19101010,19111011,19141311
0UY9F8P47D9G,KS121YT721BY2F3M5YDR,KS123YJ6KVWC91BTMB4R,KS127JH68WY6BCD7F6FF,KS122NR6NY1KB0TD40G4,KS123YJ6KVWC91BTMB4R,20341227,20341110,20341212,20301314,20341216
ZTS55C2IBJVS,KSKJX44T33B6D4UCC8CB,ESF14A354DDD69B5FBD4,KSY4WFI1S164RQUBSPCC,KS120Z46XGZW0XWJN3LY,ES3937EEC3D5D7345412,23171524,23171710,23171541,23171712,23171510
4K7BPGYVYV2G,KS7G2PN6Q42WPLR91C09,BGSF37E50145BF89644B,KS1267F6MSPN366LX7ST,KS1258H5Z9XP2GCKJT8J,ES20CECA4FF83ECE8196,27101017,27101012,27101015,19131211,27101110
ENWBBADLYPGG,KS4401V5WX78L6JX0NW7,KS122D46PJ09YVSBV9DW,KS122556LMQ829GZCCRV,ESED820E6065D9AA8D6F,KS120L96KMYTDJ48NRSH,21121010,20251010,21111510,21121110,21131110
9RLQK0PQS2FN,KS4418H6DF21VK4NHKWB,KS440BB67NHB0JH39QCN,BGSDD5FB715C9C84D8AE,KS122556LMQ829GZCCRV,KS7G2F36GFX1K55V6GK4,26111210,32161416,26111010,18141010,18191516
R1Z4QT7ZVNBI,KS125BH5X5W0R09ZW3B7,KS127D361PF0FTXDZ7C4,KS120W86KJ30NQJCQ3ZP,KS1225T707CD39S7QHV4,KS1203C6N9B52QGB4H67,19101010,19111012,19141311,19111010,19141110
F76PK90JEZ4U,KS1218L60PDVZX16NZT1,KS127ZG6DBSF76WF7VYX,KS120FG6YP8PQYYNQY9B,KS1281M7573BG4S5QKMT,ES8F73CC75C618D72F72,23111310,32131520,23151010,23121010,32101010
5YLRA9PAY1T5,ESF586319EAC399E9394,ES20CECA4FF83ECE8196,KS7G2PN6Q42WPLR91C09,KS126N85X7GWLVFQDDYL,KS121YT721BY2F3M5YDR,11171012,11181014,23131115,16131015,23131110
5LU7PKHEL706,KS121Z26S4VJLQ1WXN21,KS441DK5ZDF8Q8FWL19R,KS121996C1P31W0YZVNF,KS7AASDV6UOE7VFBGF4D,KS124QR6F19BX4WPMW1H,11221117,11191111,32171011,11111015,32171018
FOWP473OZRBL,KS4407H64CVBMTRQZRCF,KS1200364C9C1LK3V5Q1,KS1218W78FGVPVP2KXPX,KSCH2TPBQX91532Y3Q8E,KS127D361PF0FTXDZ7C4,32161416,32171022,32151014,32131526,32151018
6YS445GDEJ31,KS1222C6WKYWRKRXQCR0,ESEB1D4619E6E83A061D,KS123Y170CZM0V5Z3XXB,KS1218W78FGVPVP2KXPX,KS1220G68PD5STH2DL2W,23171541,27111320,23171524,23171510,23171810
8M3RKL39VEL0,KSKJX44T33B6D4UCC8CB,KS1203870JVGL4NN4W7Z,ESD45EAB54A83A5255D6,KS122556LMQ829GZCCRV,KS7G2F36GFX1K55V6GK4,25131810,25111110,26121210,25111518,14171410
Q5U6JZV9NOU3,KSWR4RCZQM7RAQNUFC40,KS1280B68GD79P4WMVYW,KS1207F78FG773P5VR7G,KSMNXY6MPS1EDWJ8P6B0,KS128275ZSJDZ37SNG87,23121010,16141210,32131011,16141110,16141310
DYMS1MWNPR42,KSZ61G2PSJVHHYDCWD9V,ES899BA440FA3441F22A,KS120GZ5YXC6YVM1NGPR,KS4410F6SF4NC1L4YN22,KS126D668BLGSC15GFLS,23121010,23121311,23111310,23121312,23171541
BOJAXNHRC4HM,KS1200H6XYN1CR0G5NZ0,KS124RX787SQ1WVD8XF6,ES75388526FA5C8C8C76,ESFA9982A2A945E439CB,ES653DA9F469DBE107E8,25111110,23171541,25111515,25111518,23171810
Q77HNS54GWDF,KS441K2756CXYXBG990G,KS123Y170JP7JBSFVBSS,KS123TL5XT1D2ZDKC46S,KS1203V5WXB7NG26XSR8,KS127D361PF0FTXDZ7C4,25101110,18192111,19111011,18151217,19111010
SOYG9ZQYAHUL,KS1259D6L30YYG3XR3VL,KS122556LMQ829GZCCRV,KS1218B62M9QRBY8WRSK,KS120WT70DM8WX59219Z,KS7G4ML61B2JX1H1003Z,16141210,32131011,16141110,27121210,19161111
BC2FVFA2N1L9,KS441846K903WT1RYDKJ,KS125BH5X5W0R09ZW3B7,ESBF952629C36426E564,KS126ZN706TQT20JSTTT,ES3937EEC3D5D7345412,23171524,23171712,23151115,23171541,23151111
TP1LSJ75VW2O,KS121Z26S4VJLQ1WXN21,KS125MK6L8XN70ZS40ZY,ESA47BBE34ABA43B08CA,ES69EB9C9A7AAD32CC9A,KS120SQ5W4Q57JMD2Y81,23171521,23151010,23151011,23151016,23151020
05T0RFLKYN0B,KS1220C663NX0Z4Q78P1,ES6CB9F277D7DD005987,KS121X172Q0LS2ZDG99Y,KS124745ZCN2G6TKC2QN,KS126966H39MX8JKF9TX,25131410,32161311,25131710,25131810,25111510
TP3174GU65S6,BGSDD5FB715C9C84D8AE,ESA91D8112EB9ECA3570,KS1227K6DGHN5PZTCDD0,KS681KH79MJLQDPB9T88,KS124QR6F19BX4WPMW1H,32161416,26131114,32151013,32161415,23171541
VNXIV9IW6L01,KS1200578T5QCYT0Z98G,KS1218W78FGVPVP2KXPX,KS122B071LMGXVTT3Z91,KS1217P66NK6BW72M9FH,KS1203W702ND09XHKJR5,23171712,23171524,23171716,23171510,23171541
JRKHE0SDP8MV,BGSDD5FB715C9C84D8AE,KS126DB6T061MHD7RTGQ,KSN97GEUHPNGNAQFDCGY,KS124DX6G31F5M9ZHNGC,KS122FB6H3NBQHKZWTBJ,23121010,32161416,32121312,26131114,32151013
3O4DP632F93N,ES899BA440FA3441F22A,ESA217F144D0FAFCA315,KSQPGV2XZO8UMNCC49LK,KS127TD6X5C909DYQ765,KS127CR6S5TQJVYMG3HB,32161416,32151014,32151018,32161417,17141810
AX29W7RPP9CW,KS683SQ6ZD2227YN4C93,KS123Y170CZM0V5Z3XXB,ESE1B279F38C73E025BD,KS44023635DFP7CYKJ45,KS123D26X2FQCP1WFT95,25111110,25131710,32161416,25131810,25101110
6F5Q4MYIXXJA,KS1205767R47RZSQ9RHY,ES20CECA4FF83ECE8196,KS122556LMQ829GZCCRV,BGS1ADAA36DB65721AA3,KS1256V72T3PMM5X9R0X,27111222,27111221,27121210,32131011,27121322
K5X6G2KRT47Z,KS441PL6JPXW200W0GRQ,KS127D361PF0FTXDZ7C4,ES2069A6FB279F45AADA,KS127D361PF0FTXDZ7C4,KS126X663B21NB77ZHSP,23151115,23151111,23151114,23151116,23151112
PPFNNIIX1SKN,KS1276B6094BBN4WY5CK,KS121W46CJXQ5ZQ506MS,KS120076FGP5WGWYMP0F,KS123SS6LVFYNXQPGJZW,ESBB99343C43532EBBB3,36161126,24151317,24151313,24151213,24151217
Q3T08ALLS51P,KSQPGV2XZO8UMNCC49LK,KS127CS79GV081FMJYKZ,KS442376LM8S5FKRSGM3,ESA420F05EBBD34B3C2A,KSK5NNT5S3UFT3WMEUNH,23161012,23161015,23161110,23161013,11191413
OFN1R4KZ36U8,KS124B566CZ926QHHKGP,ESBFE8BD405046C280C4,KS122556LMQ829GZCCRV,KS7G0C36YW29VS8KPC05,ESC1869858F9F7D67F26,19121411,19121414,19121416,19161111,19121413
SDC63H0ANHKW,KS120406FZSMTZF4M5SH,KS121W46CJXQ5ZQ506MS,KS123X777H5WFNXQ6BPM,KS125PT6MTXZ1JWXX79M,ES2884E132F1A422AC8F,19101010,19141110,19141311,19111012,19111010
NDXJN7DE0L1O,KS123Y170JP7JBSFVBSS,KS1280B68GD79P4WMVYW,KS121YT721BY2F3M5YDR,ESB38820A543FA4E3969,KS1219677F286BXFPBNC,11171020,19141112,19141311,21131010,19141314
PK0ZFKNWBHKV,KS1287M692W39DYZN8ZZ,BGSDD5FB715C9C84D8AE,KS440Y975RD841M02V3S,KS44175614LXCVMRTHP8,BGS804B7B96BD4F8C5F1,27121313,27111214,27121414,27121413,32161416
BE3YQY5FU7BF,KS121YT721BY2F3M5YDR,KS1218W78FGVPVP2KXPX,ES87885D4EDB576917C4,ESAE6A1B33E444CD8862,KS122FN6C971NB3RMGRM,14111210,22111311,22111215,14111115,14111114
ZO547GFPQEQQ,KS123X777H5WFNXQ6BPM,KS7G7LT731301PM8PGN8,KS440FS71DJY51ZPZR0Q,KS125WR68JRPG2YBFPP3,KS123PM708XTL2N3FJNX,21141210,19121416,32121010,19161111,19121110
FFCXHGNZEI3Z,ES32D9DAFE37545AE8B6,KS125LS6N7WP4S6SFTCK,KS441ZY6P0PDB5DWTRB8,KS1283V6XDFZSK6YP0HF,ES653DA9F469DBE107E8,23171510,21131010,21131110,23171524,23171541
D93WD6OCSVS1,BGS2E1275F3C96CC1BA8,KS125F678LV2KB3Z5XW0,KS1207164CW5X2SJPW43,KS123X777H5WFNXQ6BPM,KS122556LMQ829GZCCRV,16141210,16141110,32131011,12131213,12101212
TO0IQQKB7456,KS125MK6L8XN70ZS40ZY,KS12403769SV21756FDY,KS121DY6DT8LNYJL7FZ1,KS123X777H5WFNXQ6BPM,KS124DX6G31F5M9ZHNGC,25111310,25111610,25111110,22101110,14171110
KROWX4KK1R6L,ES8B03DAD3B526316ED9,BGSB39648E9E14294101,KS122PG64BT2BT6X15HF,KS1206V5WFXYXG27QYFD,KS125Q36QTY8PQT43BK3,16141210,25111610,25111110,25111310,14171110
15XD82IJKUV2,KS121996CBWZX0W48B64,KS122PF6FZS3609GDG0V,KS123X777H5WFNXQ6BPM,KS120JG6XFRFKS52YQ29,KSKJX44T33B6D4UCC8CB,17111510,23121010,23101010,23101110,23111310
29Q2L48C1CQG,KS4418H63Z3RP725L3BW,KS120GV6C72JMSZKMTD7,KS122CJ6ZVCCTTDGYB6B,KS124JB619VXG6RQ810C,KS1248T6MC5L69MZ2L3R,32171011,32161416,32101110,32131526,11211211
VTCODAIZHFKI,KS126HS6R7MH1W08PMVR,KS1218W78FGVPVP2KXPX,KS441K2756CXYXBG990G,ES39E5C01E1593CE9E72,KS127887314GMCR1VRR5,21131010,22111311,22111215,11191413,22111216
S2NU4BMZTNE0,KS124JB619VXG6RQ810C,KS122556LMQ829GZCCRV,KS122556LMQ829GZCCRV,ESB38820A543FA4E3969,KSKJX44T33B6D4UCC8CB,32161416,21131010,20341227,15111013,21131110
BK5P24T9N44F,KS123X777H5WFNXQ6BPM,KS7G4T15W4RYVZTCDSWZ,KS440H45X67RF6B7BF2N,KS441JK74K5Y3HYRK962,KS1261W6S12LL9NC21GQ,21121310,21141810,21121410,21131010,19111110
Q4AW8JHE5S51,ESA91D8112EB9ECA3570,KS122556LMQ829GZCCRV,KS1200365FTR9X0M96T9,KS44175745H9Q0DPBDNT,ESB04BCB6189A2CB271E,23171521,32101114,17181010,23171524,23171541
